method,time,quantity,target_left,target_right,pairwise_rms,checkpoint_step
fm_only,0.4375,state_lattice_log,0,1,0.10638460516929626,400
fm_only,0.4375,velocity_type_logit,0,1,0.06482269614934921,400
fm_only,0.4375,velocity_fractional_coordinate,0,1,0.02322438172996044,400
fm_only,0.4375,velocity_lattice_log,0,1,0.2305615097284317,400
fm_only,0.5,state_type_logit,0,1,0.035632554441690445,400
fm_only,0.5,state_fractional_coordinate,0,1,0.01881466433405876,400
fm_only,0.5,state_lattice_log,0,1,0.12079336494207382,400
fm_only,0.5,velocity_type_logit,0,1,0.06343519687652588,400
fm_only,0.5,velocity_fractional_coordinate,0,1,0.02033194713294506,400
fm_only,0.5,velocity_lattice_log,0,1,0.22812902927398682,400
fm_only,0.5625,state_type_logit,0,1,0.03955338895320892,400
fm_only,0.5625,state_fractional_coordinate,0,1,0.02001086249947548,400
fm_only,0.5625,state_lattice_log,0,1,0.13505010306835175,400
fm_only,0.5625,velocity_type_logit,0,1,0.062173519283533096,400
fm_only,0.5625,velocity_fractional_coordinate,0,1,0.017889726907014847,400
fm_only,0.5625,velocity_lattice_log,0,1,0.2258838415145874,400
fm_only,0.625,state_type_logit,0,1,0.04338889569044113,400
fm_only,0.625,state_fractional_coordinate,0,1,0.021022651344537735,400
fm_only,0.625,state_lattice_log,0,1,0.14916664361953735,400
fm_only,0.625,velocity_type_logit,0,1,0.06102108955383301,400
fm_only,0.625,velocity_fractional_coordinate,0,1,0.015904581174254417,400
fm_only,0.625,velocity_lattice_log,0,1,0.22380287945270538,400
fm_only,0.6875,state_type_logit,0,1,0.0471462719142437,400
fm_only,0.6875,state_fractional_coordinate,0,1,0.02186920866370201,400
fm_only,0.6875,state_lattice_log,0,1,0.163153275847435,400
fm_only,0.6875,velocity_type_logit,0,1,0.05996408313512802,400
fm_only,0.6875,velocity_fractional_coordinate,0,1,0.014372589997947216,400
fm_only,0.6875,velocity_lattice_log,0,1,0.22187194228172302,400
fm_only,0.75,state_type_logit,0,1,0.050831831991672516,400
fm_only,0.75,state_fractional_coordinate,0,1,0.02256873808801174,400
fm_only,0.75,state_lattice_log,0,1,0.17701923847198486,400
fm_only,0.75,velocity_type_logit,0,1,0.05875323340296745,400
fm_only,0.75,velocity_fractional_coordinate,0,1,0.014704235829412937,400
fm_only,0.75,velocity_lattice_log,0,1,0.2114107608795166,400
fm_only,0.8125,state_type_logit,0,1,0.054337434470653534,400
fm_only,0.8125,state_fractional_coordinate,0,1,0.023000240325927734,400
fm_only,0.8125,state_lattice_log,0,1,0.19020865857601166,400
fm_only,0.8125,velocity_type_logit,0,1,0.057906657457351685,400
fm_only,0.8125,velocity_fractional_coordinate,0,1,0.013926226645708084,400
fm_only,0.8125,velocity_lattice_log,0,1,0.20950771868228912,400
fm_only,0.875,state_type_logit,0,1,0.057791322469711304,400
fm_only,0.875,state_fractional_coordinate,0,1,0.023338070139288902,400
fm_only,0.875,state_lattice_log,0,1,0.2032812535762787,400
fm_only,0.875,velocity_type_logit,0,1,0.057112403213977814,400
fm_only,0.875,velocity_fractional_coordinate,0,1,0.0133565878495574,400
fm_only,0.875,velocity_lattice_log,0,1,0.2078372687101364,400
fm_only,0.9375,state_type_logit,0,1,0.061197977513074875,400
fm_only,0.9375,state_fractional_coordinate,0,1,0.02359841577708721,400
fm_only,0.9375,state_lattice_log,0,1,0.21625187993049622,400
fm_only,0.9375,velocity_type_logit,0,1,0.05636311694979668,400
fm_only,0.9375,velocity_fractional_coordinate,0,1,0.012919637374579906,400
fm_only,0.9375,velocity_lattice_log,0,1,0.2063809186220169,400
fm_only,1.0,state_type_logit,0,1,0.06456121057271957,400
fm_only,1.0,state_fractional_coordinate,0,1,0.023796137422323227,400
fm_only,1.0,state_lattice_log,0,1,0.22913435101509094,400
early_all_negative_identification,0.0,state_type_logit,0,1,0.0,200
early_all_negative_identification,0.0,state_fractional_coordinate,0,1,0.0,200
early_all_negative_identification,0.0,state_lattice_log,0,1,0.0,200
early_all_negative_identification,0.0,velocity_type_logit,0,1,0.11230196058750153,200
early_all_negative_identification,0.0,velocity_fractional_coordinate,0,1,0.10525679588317871,200
early_all_negative_identification,0.0,velocity_lattice_log,0,1,0.35147950053215027,200
early_all_negative_identification,0.0625,state_type_logit,0,1,0.007018869277089834,200
early_all_negative_identification,0.0625,state_fractional_coordinate,0,1,0.006578560918569565,200
early_all_negative_identification,0.0625,state_lattice_log,0,1,0.021967461332678795,200
early_all_negative_identification,0.0625,velocity_type_logit,0,1,0.11061076074838638,200
early_all_negative_identification,0.0625,velocity_fractional_coordinate,0,1,0.09644898772239685,200
early_all_negative_identification,0.0625,velocity_lattice_log,0,1,0.3473649322986603,200
early_all_negative_identification,0.125,state_type_logit,0,1,0.013930757530033588,200
early_all_negative_identification,0.125,state_fractional_coordinate,0,1,0.012606265023350716,200
early_all_negative_identification,0.125,state_lattice_log,0,1,0.04367721453309059,200
early_all_negative_identification,0.125,velocity_type_logit,0,1,0.10905176401138306,200
early_all_negative_identification,0.125,velocity_fractional_coordinate,0,1,0.08804453909397125,200
early_all_negative_identification,0.125,velocity_lattice_log,0,1,0.3434451222419739,200
early_all_negative_identification,0.1875,state_type_logit,0,1,0.020742835476994514,200
early_all_negative_identification,0.1875,state_fractional_coordinate,0,1,0.018108166754245758,200
early_all_negative_identification,0.1875,state_lattice_log,0,1,0.0651409700512886,200
early_all_negative_identification,0.1875,velocity_type_logit,0,1,0.10762366652488708,200
early_all_negative_identification,0.1875,velocity_fractional_coordinate,0,1,0.08004845678806305,200
early_all_negative_identification,0.1875,velocity_lattice_log,0,1,0.33977821469306946,200
early_all_negative_identification,0.25,state_type_logit,0,1,0.02746248058974743,200
early_all_negative_identification,0.25,state_fractional_coordinate,0,1,0.023109549656510353,200
early_all_negative_identification,0.25,state_lattice_log,0,1,0.08637422323226929,200
early_all_negative_identification,0.25,velocity_type_logit,0,1,0.10632257908582687,200
early_all_negative_identification,0.25,velocity_fractional_coordinate,0,1,0.07250779867172241,200
early_all_negative_identification,0.25,velocity_lattice_log,0,1,0.3364013135433197,200
early_all_negative_identification,0.3125,state_type_logit,0,1,0.034097153693437576,200
early_all_negative_identification,0.3125,state_fractional_coordinate,0,1,0.027638530358672142,200
early_all_negative_identification,0.3125,state_lattice_log,0,1,0.10739494860172272,200
early_all_negative_identification,0.3125,velocity_type_logit,0,1,0.10513979196548462,200
early_all_negative_identification,0.3125,velocity_fractional_coordinate,0,1,0.06549268215894699,200
early_all_negative_identification,0.3125,velocity_lattice_log,0,1,0.3333089053630829,200
early_all_negative_identification,0.375,state_type_logit,0,1,0.040654074400663376,200
early_all_negative_identification,0.375,state_fractional_coordinate,0,1,0.03172744810581207,200
early_all_negative_identification,0.375,state_lattice_log,0,1,0.1282210499048233,200
early_all_negative_identification,0.375,velocity_type_logit,0,1,0.10406218469142914,200
early_all_negative_identification,0.375,velocity_fractional_coordinate,0,1,0.05906803905963898,200
early_all_negative_identification,0.375,velocity_lattice_log,0,1,0.3304511308670044,200
early_all_negative_identification,0.4375,state_type_logit,0,1,0.04713985323905945,200
