step,velocity_mse,endpoint_periodic_rms,coordinate_head_gradient_norm,coordinate_head_output_norm,target_velocity_norm
48,0.015874717384576797,0.0383349247276783,0.024446658790111542,0.6530102491378784,0.8328659534454346
49,0.015337705612182617,0.03768095001578331,0.01759716495871544,0.7404245138168335,0.8328659534454346
50,0.013107999227941036,0.034834519028663635,0.01619723066687584,0.6688016653060913,0.8328659534454346
51,0.012985958717763424,0.034671980887651443,0.02427159622311592,0.6544040441513062,0.8328659534454346
52,0.012687492184340954,0.03427121788263321,0.02108302153646946,0.769334077835083,0.8328659534454346
53,0.011235013604164124,0.03224990889430046,0.01777653768658638,0.6953749656677246,0.8328659534454346
54,0.010292313992977142,0.030867259949445724,0.005887763574719429,0.738294243812561,0.8328659534454346
55,0.010985205881297588,0.03188936412334442,0.03075282834470272,0.8290994167327881,0.8328659534454346
56,0.01255873404443264,0.03409687057137489,0.02709895558655262,0.7081441283226013,0.8328659534454346
57,0.011019083671271801,0.03193849325180054,0.040842972695827484,0.8603454828262329,0.8328659534454346
58,0.009583397768437862,0.029785264283418655,0.004753727000206709,0.7653734683990479,0.8328659534454346
59,0.009751534089446068,0.0300454068928957,0.01103829313069582,0.7429120540618896,0.8328659534454346
60,0.010281825438141823,0.030851533636450768,0.03131445124745369,0.8325194716453552,0.8328659534454346
61,0.009672364220023155,0.029923193156719208,0.015461775474250317,0.7195276021957397,0.8328659534454346
62,0.009166905656456947,0.029130836948752403,0.008173735812306404,0.7357643246650696,0.8328659534454346
63,0.00973450019955635,0.030019152909517288,0.02338590659201145,0.803797721862793,0.8328659534454346
64,0.009201647713780403,0.029185989871621132,0.017558053135871887,0.7086316347122192,0.8328659534454346
65,0.008761162869632244,0.02847886085510254,0.011945009231567383,0.7258545160293579,0.8328659534454346
66,0.009166799485683441,0.029130669310688972,0.021192753687500954,0.8010604381561279,0.8328659534454346
