method,time,target_left,target_right,alignment_frame_jsd,automorphism_792_jsd,aligned_token_rms
orbit_alignment,0.25,3,7,0.0029947939328849316,0.013279631733894348,0.0937659740447998
orbit_alignment,0.25,4,5,0.0064804027788341045,0.0029828553088009357,0.05101929232478142
orbit_alignment,0.25,4,6,0.006488166283816099,0.005194007884711027,0.06169892102479935
orbit_alignment,0.25,4,7,0.006553800776600838,0.01413042563945055,0.09784678369760513
orbit_alignment,0.25,5,6,4.470959538593888e-05,0.00039363541873171926,0.014668985269963741
orbit_alignment,0.25,5,7,0.0005497836973518133,0.004661091603338718,0.05704932659864426
orbit_alignment,0.25,6,7,0.00031441706232726574,0.0025164771359413862,0.04239866882562637
orbit_alignment,0.375,0,1,0.002810810925439,0.10122159868478775,0.2563502788543701
orbit_alignment,0.375,0,2,0.00018799211829900742,4.5820605009794235e-05,0.00712927058339119
orbit_alignment,0.375,0,3,0.0035462407395243645,0.0001663127914071083,0.0271498654037714
orbit_alignment,0.375,0,4,0.02334018424153328,0.00036763004027307034,0.053191378712654114
orbit_alignment,0.375,0,5,0.0005836819764226675,0.00413695489987731,0.049078915268182755
orbit_alignment,0.375,0,6,0.0009808759205043316,0.008898140862584114,0.07108339667320251
orbit_alignment,0.375,0,7,0.002032618969678879,0.024031173437833786,0.12888865172863007
orbit_alignment,0.375,1,2,0.00383940152823925,0.09863698482513428,0.25101643800735474
orbit_alignment,0.375,1,3,0.008641945198178291,0.10588151216506958,0.25752487778663635
orbit_alignment,0.375,1,4,0.016561085358262062,0.10732591152191162,0.25141778588294983
orbit_alignment,0.375,1,5,0.003888556268066168,0.07673997431993484,0.21889694035053253
orbit_alignment,0.375,1,6,0.004031985532492399,0.06543321162462234,0.20359118282794952
orbit_alignment,0.375,1,7,0.0042487857863307,0.041063591837882996,0.170058473944664
orbit_alignment,0.375,2,3,0.002266884548589587,0.0003520624013617635,0.024721233174204826
orbit_alignment,0.375,2,4,0.02755342796444893,0.0006038026185706258,0.04885878413915634
orbit_alignment,0.375,2,5,0.00090966303832829,0.0033457339741289616,0.04412192106246948
orbit_alignment,0.375,2,6,0.0013457536697387695,0.007757300976663828,0.06599877029657364
orbit_alignment,0.375,2,7,0.0024779695086181164,0.022262178361415863,0.12359755486249924
orbit_alignment,0.375,3,4,0.042768023908138275,7.8389304690063e-05,0.02813130058348179
orbit_alignment,0.375,3,5,0.0055352672934532166,0.005569866858422756,0.061141908168792725
orbit_alignment,0.375,3,6,0.006271594204008579,0.010881543159484863,0.08129017055034637
orbit_alignment,0.375,3,7,0.007759874686598778,0.027020346373319626,0.13644519448280334
orbit_alignment,0.375,4,5,0.0229865163564682,0.006193947046995163,0.07213784754276276
orbit_alignment,0.375,4,6,0.023176513612270355,0.011716417968273163,0.08803116530179977
orbit_alignment,0.375,4,7,0.02369401976466179,0.02815241739153862,0.13688357174396515
orbit_alignment,0.375,5,6,9.690069418866187e-05,0.0011159395799040794,0.02204006351530552
orbit_alignment,0.375,5,7,0.0007302704034373164,0.009536897763609886,0.08002930134534836
orbit_alignment,0.375,6,7,0.000305167050100863,0.004793614149093628,0.0580422468483448
orbit_alignment,0.5,0,1,0.003275705501437187,0.1475195288658142,0.30311158299446106
orbit_alignment,0.5,0,2,0.0006170375272631645,0.0006752476328983903,0.013184898532927036
orbit_alignment,0.5,0,3,0.012835297733545303,0.0004185239668004215,0.04630471020936966
orbit_alignment,0.5,0,4,0.08413441479206085,0.00043537834426388144,0.09499960392713547
orbit_alignment,0.5,0,5,0.0011815580073744059,0.010327285155653954,0.08455190062522888
orbit_alignment,0.5,0,6,0.0019329050555825233,0.01976347714662552,0.11549057811498642
orbit_alignment,0.5,0,7,0.0040480270981788635,0.05139782279729843,0.19218584895133972
orbit_alignment,0.5,1,2,0.005258132703602314,0.13738922774791718,0.29279279708862305
orbit_alignment,0.5,1,3,0.01931281015276909,0.15149953961372375,0.30079278349876404
orbit_alignment,0.5,1,4,0.07220442593097687,0.15086716413497925,0.2712937593460083
orbit_alignment,0.5,1,5,0.00548204779624939,0.11061778664588928,0.24050372838974
orbit_alignment,0.5,1,6,0.00650321040302515,0.09393434226512909,0.22101278603076935
orbit_alignment,0.5,1,7,0.008578179404139519,0.0577271431684494,0.185883030295372
orbit_alignment,0.5,2,3,0.008168134838342667,0.0015943838516250253,0.04170195385813713
orbit_alignment,0.5,2,4,0.0981275662779808,0.0015968078514561057,0.08535498380661011
orbit_alignment,0.5,2,5,0.002397660631686449,0.00661120843142271,0.07487352937459946
orbit_alignment,0.5,2,6,0.0031973393633961678,0.014571428298950195,0.10557526350021362
orbit_alignment,0.5,2,7,0.005134040955454111,0.0438414067029953,0.18185542523860931
orbit_alignment,0.5,3,4,0.15321114659309387,1.3409691746346653e-05,0.058040961623191833
orbit_alignment,0.5,3,5,0.01833219826221466,0.013697010464966297,0.10140858590602875
orbit_alignment,0.5,3,6,0.019864194095134735,0.024138297885656357,0.12913918495178223
orbit_alignment,0.5,3,7,0.02229851484298706,0.05678332597017288,0.20033979415893555
orbit_alignment,0.5,4,5,0.08018453419208527,0.013655615970492363,0.10769069939851761
orbit_alignment,0.5,4,6,0.08055242896080017,0.024004770442843437,0.12567174434661865
orbit_alignment,0.5,4,7,0.08427365124225616,0.05644841864705086,0.182356595993042
orbit_alignment,0.5,5,6,0.00011369751882739365,0.0021380302496254444,0.031052790582180023
orbit_alignment,0.5,5,7,0.0012887215707451105,0.02202814444899559,0.10866677761077881
orbit_alignment,0.5,6,7,0.0006938094738870859,0.011602424085140228,0.0778762698173523
orbit_alignment,0.625,0,1,0.005673822946846485,0.15622074902057648,0.3611868619918823
orbit_alignment,0.625,0,2,0.0018357676453888416,0.0005076942034065723,0.022874174639582634
orbit_alignment,0.625,0,3,0.043761029839515686,0.002567322924733162,0.08369377255439758
orbit_alignment,0.625,0,4,0.201323002576828,0.0025185381527990103,0.19195759296417236
orbit_alignment,0.625,0,5,0.002112635411322117,0.0253484807908535,0.1294475495815277
orbit_alignment,0.625,0,6,0.0033879471011459827,0.03803481161594391,0.1730872392654419
orbit_alignment,0.625,0,7,0.007147963158786297,0.08078083395957947,0.26997658610343933
orbit_alignment,0.625,1,2,0.00939407292753458,0.15252788364887238,0.3430030941963196
orbit_alignment,0.625,1,3,0.05221053957939148,0.15956629812717438,0.34657561779022217
orbit_alignment,0.625,1,4,0.1918824464082718,0.1538762003183365,0.27712228894233704
orbit_alignment,0.625,1,5,0.009336350485682487,0.12294431030750275,0.26811644434928894
orbit_alignment,0.625,1,6,0.011218026280403137,0.10994409769773483,0.24344556033611298
