method,time,quantity,pairwise_rms_mean,pairwise_rms_std
direct_irrep,0.625,state_type_logit,0.05119159515015781,0.01900118876336378
direct_irrep,0.625,velocity_fractional_coordinate,0.011454853060838235,0.009867096592041593
direct_irrep,0.625,velocity_lattice_log,0.2991883670911193,0.16347342447440205
direct_irrep,0.625,velocity_type_logit,0.06770659035204776,0.026542056815710077
direct_irrep,0.75,state_fractional_coordinate,0.013709397304670088,0.013241189095138476
direct_irrep,0.75,state_lattice_log,0.22363797974373614,0.11971068833350089
direct_irrep,0.75,state_type_logit,0.05951061711779663,0.022256286647390083
direct_irrep,0.75,velocity_fractional_coordinate,0.011638518289795943,0.007486111082554367
direct_irrep,0.75,velocity_lattice_log,0.29554436781576704,0.16011341266660387
direct_irrep,0.75,velocity_type_logit,0.06343724941169578,0.024776518688495276
direct_irrep,0.875,state_fractional_coordinate,0.014655631551119899,0.014269875477846129
direct_irrep,0.875,state_lattice_log,0.26055789246623007,0.1397124316633644
direct_irrep,0.875,state_type_logit,0.06726451703746404,0.02528077015991371
direct_irrep,0.875,velocity_fractional_coordinate,0.011300586039266949,0.006961861360760292
direct_irrep,0.875,velocity_lattice_log,0.2977267974721534,0.16355968823051145
direct_irrep,0.875,velocity_type_logit,0.06117245840973088,0.024656123260262258
direct_irrep,1.0,state_fractional_coordinate,0.015604415006237105,0.015151857867201666
direct_irrep,1.0,state_lattice_log,0.2977469679234283,0.16013716713999473
direct_irrep,1.0,state_type_logit,0.0746971853742642,0.028271364329640704
orbit_alignment,0.0,state_fractional_coordinate,0.0,0.0
orbit_alignment,0.0,state_lattice_log,0.0,0.0
orbit_alignment,0.0,state_type_logit,0.0,0.0
orbit_alignment,0.0,velocity_fractional_coordinate,0.0077080161468724585,0.006496981891879254
orbit_alignment,0.0,velocity_lattice_log,0.24142402473704092,0.1942871741969562
orbit_alignment,0.0,velocity_type_logit,0.051651596366095225,0.036459520997318286
orbit_alignment,0.125,state_fractional_coordinate,0.0009635010963912853,0.0008121195113953642
orbit_alignment,0.125,state_lattice_log,0.030178005736420994,0.024285899120862587
orbit_alignment,0.125,state_type_logit,0.006456448987592012,0.0045574397521464
orbit_alignment,0.125,velocity_fractional_coordinate,0.0071292772959818,0.0064265666132565374
orbit_alignment,0.125,velocity_lattice_log,0.2259275747263538,0.19274868439026127
orbit_alignment,0.125,velocity_type_logit,0.04336646673203047,0.03314877967359585
orbit_alignment,0.25,state_fractional_coordinate,0.0018429850367413434,0.0015993960773517757
orbit_alignment,0.25,state_lattice_log,0.05841550072987697,0.048355156541002864
orbit_alignment,0.25,state_type_logit,0.011859914955234021,0.008686727854812637
orbit_alignment,0.25,velocity_fractional_coordinate,0.0071495884320549,0.006862952170683126
orbit_alignment,0.25,velocity_lattice_log,0.2247185333399102,0.19341138390807341
orbit_alignment,0.25,velocity_type_logit,0.040084694478926916,0.030473172870820416
orbit_alignment,0.375,state_fractional_coordinate,0.0027139331775418085,0.0024234316911298103
orbit_alignment,0.375,state_lattice_log,0.08648507380192834,0.07253114417432206
orbit_alignment,0.375,state_type_logit,0.016825421738238738,0.012462907363718299
orbit_alignment,0.375,velocity_fractional_coordinate,0.01143988034787721,0.010869106142747111
