method,time,target,posterior,entropy_nats,top_mode_mass,effective_frame_count,mode_count
orbit_alignment,0.25,2,crystal_automorphism_792,2.9488935470581055,0.18919683992862701,19.08482551574707,792
orbit_alignment,0.25,3,crystal_automorphism_792,2.934119701385498,0.1923658549785614,18.804941177368164,792
orbit_alignment,0.25,4,crystal_automorphism_792,2.925344467163086,0.19399195909500122,18.64064598083496,792
orbit_alignment,0.25,5,crystal_automorphism_792,2.9817919731140137,0.18544450402259827,19.723129272460938,792
orbit_alignment,0.25,6,crystal_automorphism_792,2.9916610717773438,0.18391695618629456,19.91874122619629,792
orbit_alignment,0.25,7,crystal_automorphism_792,3.028548002243042,0.18158961832523346,20.667203903198242,792
orbit_alignment,0.375,0,alignment_frame,2.079441547393799,0.125,8.0,8
orbit_alignment,0.375,1,alignment_frame,2.0680816173553467,0.16307811439037323,7.909635066986084,8
orbit_alignment,0.375,2,alignment_frame,2.0786914825439453,0.13049665093421936,7.994002342224121,8
orbit_alignment,0.375,3,alignment_frame,2.0653839111328125,0.14779627323150635,7.888326168060303,8
orbit_alignment,0.375,4,alignment_frame,1.984889268875122,0.20388635993003845,7.2782416343688965,8
orbit_alignment,0.375,5,alignment_frame,2.077098846435547,0.1380566656589508,7.981280326843262,8
orbit_alignment,0.375,6,alignment_frame,2.0755226612091064,0.14286300539970398,7.968710422515869,8
orbit_alignment,0.375,7,alignment_frame,2.071441650390625,0.14783474802970886,7.936256408691406,8
orbit_alignment,0.375,0,crystal_automorphism_792,2.7577261924743652,0.27531448006629944,15.763957023620605,792
orbit_alignment,0.375,1,crystal_automorphism_792,2.9121341705322266,0.2476935237646103,18.39601707458496,792
orbit_alignment,0.375,2,crystal_automorphism_792,2.763123035430908,0.27289602160453796,15.849263191223145,792
orbit_alignment,0.375,3,crystal_automorphism_792,2.736811399459839,0.2822992205619812,15.437682151794434,792
orbit_alignment,0.375,4,crystal_automorphism_792,2.718997001647949,0.2865992784500122,15.165103912353516,792
orbit_alignment,0.375,5,crystal_automorphism_792,2.813018798828125,0.25306451320648193,16.660137176513672,792
orbit_alignment,0.375,6,crystal_automorphism_792,2.8296058177948,0.2486700862646103,16.938783645629883,792
orbit_alignment,0.375,7,crystal_automorphism_792,2.8684892654418945,0.23490628600120544,17.610393524169922,792
orbit_alignment,0.5,0,alignment_frame,2.079441547393799,0.125,8.0,8
orbit_alignment,0.5,1,alignment_frame,2.0663304328918457,0.16111712157726288,7.895796298980713,8
orbit_alignment,0.5,2,alignment_frame,2.0769858360290527,0.1339140087366104,7.980378150939941,8
orbit_alignment,0.5,3,alignment_frame,2.0297231674194336,0.16860537230968475,7.611979007720947,8
orbit_alignment,0.5,4,alignment_frame,1.748258113861084,0.2776563763618469,5.7445878982543945,8
orbit_alignment,0.5,5,alignment_frame,2.07468843460083,0.14694514870643616,7.962065696716309,8
orbit_alignment,0.5,6,alignment_frame,2.071641206741333,0.15608447790145874,7.937840461730957,8
orbit_alignment,0.5,7,alignment_frame,2.0628886222839355,0.17891697585582733,7.868666648864746,8
orbit_alignment,0.5,0,crystal_automorphism_792,2.2884042263031006,0.4344760477542877,9.85919189453125,792
orbit_alignment,0.5,1,crystal_automorphism_792,2.5533223152160645,0.3556123375892639,12.849723815917969,792
orbit_alignment,0.5,2,crystal_automorphism_792,2.3282885551452637,0.4250095784664154,10.260366439819336,792
orbit_alignment,0.5,3,crystal_automorphism_792,2.239224910736084,0.4483906030654907,9.386053085327148,792
orbit_alignment,0.5,4,crystal_automorphism_792,2.229753255844116,0.4505528211593628,9.297571182250977,792
orbit_alignment,0.5,5,crystal_automorphism_792,2.501460552215576,0.3809528648853302,12.200301170349121,792
orbit_alignment,0.5,6,crystal_automorphism_792,2.5438244342803955,0.36525046825408936,12.728256225585938,792
orbit_alignment,0.5,7,crystal_automorphism_792,2.6026718616485596,0.3324566185474396,13.49975872039795,792
orbit_alignment,0.625,0,alignment_frame,2.079441547393799,0.125,8.0,8
orbit_alignment,0.625,1,alignment_frame,2.0567305088043213,0.16138644516468048,7.820359230041504,8
orbit_alignment,0.625,2,alignment_frame,2.0721609592437744,0.14212407171726227,7.941967010498047,8
orbit_alignment,0.625,3,alignment_frame,1.916411280632019,0.21008610725402832,6.796524524688721,8
orbit_alignment,0.625,4,alignment_frame,1.3384913206100464,0.3622909486293793,3.813286066055298,8
orbit_alignment,0.625,5,alignment_frame,2.0709052085876465,0.15922266244888306,7.931999683380127,8
orbit_alignment,0.625,6,alignment_frame,2.065645694732666,0.17101642489433289,7.8903913497924805,8
orbit_alignment,0.625,7,alignment_frame,2.049337863922119,0.20515067875385284,7.762759208679199,8
