variant,time,target,head,base_velocity_rms,conditional_residual_rms,gated_conditional_residual_rms,gated_residual_over_base,g_t,conditional_control,checkpoint_step
original_injection,0.375,7,lattice_log,2.122718572616577,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.5,0,type_logit,0.5849291086196899,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.5,1,type_logit,0.5785667300224304,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.5,2,type_logit,0.5813449621200562,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.5,3,type_logit,0.5750471353530884,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.5,4,type_logit,0.5740634799003601,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.5,5,type_logit,0.5763946771621704,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.5,6,type_logit,0.5767859220504761,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.5,7,type_logit,0.5857753753662109,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.5,0,fractional_coordinate,0.027579309418797493,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.5,1,fractional_coordinate,0.03752638027071953,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.5,2,fractional_coordinate,0.029220299795269966,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.5,3,fractional_coordinate,0.034672439098358154,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.5,4,fractional_coordinate,0.05130577087402344,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.5,5,fractional_coordinate,0.03103172592818737,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.5,6,fractional_coordinate,0.033669453114271164,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.5,7,fractional_coordinate,0.04385286942124367,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.5,0,lattice_log,2.122840642929077,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.5,1,lattice_log,2.5595171451568604,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.5,2,lattice_log,2.145784616470337,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.5,3,lattice_log,2.2389280796051025,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.5,4,lattice_log,2.2474567890167236,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.5,5,lattice_log,2.097818374633789,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.5,6,lattice_log,2.0944879055023193,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.5,7,lattice_log,2.122718572616577,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.625,0,type_logit,0.5849291086196899,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.625,1,type_logit,0.5785667300224304,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.625,2,type_logit,0.5813449621200562,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.625,3,type_logit,0.5750471353530884,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.625,4,type_logit,0.5740634799003601,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.625,5,type_logit,0.5763946771621704,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.625,6,type_logit,0.5767858624458313,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.625,7,type_logit,0.5857753753662109,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.625,0,fractional_coordinate,0.027579309418797493,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.625,1,fractional_coordinate,0.03752638399600983,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.625,2,fractional_coordinate,0.029220299795269966,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.625,3,fractional_coordinate,0.034672439098358154,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.625,4,fractional_coordinate,0.05130578204989433,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.625,5,fractional_coordinate,0.03103172779083252,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.625,6,fractional_coordinate,0.033669449388980865,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.625,7,fractional_coordinate,0.04385286942124367,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.625,0,lattice_log,2.122840642929077,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.625,1,lattice_log,2.5595171451568604,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.625,2,lattice_log,2.145784854888916,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.625,3,lattice_log,2.2389280796051025,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.625,4,lattice_log,2.2474570274353027,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.625,5,lattice_log,2.097818374633789,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.625,6,lattice_log,2.0944879055023193,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.625,7,lattice_log,2.122718572616577,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.75,0,type_logit,0.5849290490150452,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.75,1,type_logit,0.5785667300224304,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.75,2,type_logit,0.5813449621200562,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.75,3,type_logit,0.5750471353530884,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.75,4,type_logit,0.5740634799003601,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.75,5,type_logit,0.5763946771621704,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.75,6,type_logit,0.5767858624458313,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.75,7,type_logit,0.5857753753662109,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.75,0,fractional_coordinate,0.02757931314408779,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.75,1,fractional_coordinate,0.03752638399600983,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.75,2,fractional_coordinate,0.029220301657915115,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.75,3,fractional_coordinate,0.034672439098358154,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.75,4,fractional_coordinate,0.051305774599313736,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.75,5,fractional_coordinate,0.03103172779083252,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.75,6,fractional_coordinate,0.033669453114271164,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.75,7,fractional_coordinate,0.04385286942124367,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.75,0,lattice_log,2.122840642929077,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.75,1,lattice_log,2.5595171451568604,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.75,2,lattice_log,2.145784854888916,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.75,3,lattice_log,2.2389283180236816,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.75,4,lattice_log,2.2474567890167236,0.0,0.0,0.0,1.0,original_injection,400
