method,time,target,own_velocity_error,shuffled_velocity_error,own_target_margin,own_target_win,condition_velocity_shift_rms,checkpoint_step
original_injection,0.625,5,1.8569042682647705,2.3971519470214844,0.5402476787567139,True,0.4463096857070923,800
original_injection,0.625,6,1.5543960332870483,1.5112619400024414,-0.043134093284606934,False,0.05611462518572807,800
original_injection,0.625,7,1.7367022037506104,1.7930936813354492,0.05639147758483887,True,0.175353541970253,800
original_injection,0.75,0,1.3984026908874512,1.663914442062378,0.26551175117492676,True,0.7016075849533081,800
original_injection,0.75,1,0.9522320032119751,1.576775074005127,0.6245430707931519,True,1.048961877822876,800
original_injection,0.75,2,1.6578054428100586,3.409078598022461,1.7512731552124023,True,0.9608216285705566,800
original_injection,0.75,3,1.7988848686218262,1.8044836521148682,0.005598783493041992,True,0.16532322764396667,800
original_injection,0.75,4,1.9903357028961182,1.997952938079834,0.00761723518371582,True,0.1612350344657898,800
original_injection,0.75,5,3.0254063606262207,3.007030487060547,-0.018375873565673828,False,0.6188241839408875,800
original_injection,0.75,6,2.085541248321533,2.128317356109619,0.04277610778808594,True,0.060298625379800797,800
original_injection,0.75,7,1.835474967956543,1.8773308992385864,0.04185593128204346,True,0.15257512032985687,800
original_injection,0.875,0,1.506662130355835,1.7654780149459839,0.2588158845901489,True,0.6904687285423279,800
original_injection,0.875,1,2.1395609378814697,2.8925557136535645,0.7529947757720947,True,0.9768235683441162,800
original_injection,0.875,2,2.0600340366363525,2.521059513092041,0.4610254764556885,True,0.9881986975669861,800
original_injection,0.875,3,2.22892427444458,2.0980052947998047,-0.1309189796447754,False,0.1661997139453888,800
original_injection,0.875,4,4.5914082527160645,4.938434600830078,0.34702634811401367,True,0.17678235471248627,800
original_injection,0.875,5,1.267831563949585,1.7072906494140625,0.43945908546447754,True,0.47902530431747437,800
original_injection,0.875,6,1.8961613178253174,1.8968706130981445,0.0007092952728271484,True,0.05390935391187668,800
original_injection,0.875,7,1.401106595993042,1.331101894378662,-0.07000470161437988,False,0.1420704871416092,800
original_injection,1.0,0,2.151155471801758,2.427682876586914,0.27652740478515625,True,0.687381386756897,800
original_injection,1.0,1,1.6902035474777222,1.8929386138916016,0.2027350664138794,True,1.01799476146698,800
original_injection,1.0,2,2.235201120376587,2.6087796688079834,0.3735785484313965,True,0.9852248430252075,800
original_injection,1.0,3,2.709493637084961,2.6484007835388184,-0.06109285354614258,False,0.16228768229484558,800
original_injection,1.0,4,1.6220519542694092,1.544250249862671,-0.07780170440673828,False,0.16204816102981567,800
original_injection,1.0,5,2.8958582878112793,2.926178455352783,0.030320167541503906,True,0.47335705161094666,800
original_injection,1.0,6,3.6539602279663086,3.6618003845214844,0.007840156555175781,True,0.05569864809513092,800
original_injection,1.0,7,2.2748193740844727,2.4065542221069336,0.13173484802246094,True,0.16463924944400787,800
residual_field,0.0,0,2.1922521591186523,2.1878461837768555,-0.004405975341796875,False,0.16576054692268372,400
residual_field,0.0,1,1.1993193626403809,1.1283035278320312,-0.07101583480834961,False,0.250642329454422,400
residual_field,0.0,2,3.672833204269409,4.0638203620910645,0.3909871578216553,True,0.29392147064208984,400
residual_field,0.0,3,2.451904773712158,2.4043173789978027,-0.04758739471435547,False,0.03658890724182129,400
residual_field,0.0,4,2.1082775592803955,2.105037212371826,-0.003240346908569336,False,0.03680633753538132,400
residual_field,0.0,5,1.2000610828399658,1.1566216945648193,-0.043439388275146484,False,0.07377646863460541,400
residual_field,0.0,6,2.246289014816284,2.2235898971557617,-0.02269911766052246,False,0.024027019739151,400
residual_field,0.0,7,1.7684590816497803,1.7755483388900757,0.00708925724029541,True,0.03535952419042587,400
residual_field,0.125,0,1.1213688850402832,1.4442766904830933,0.32290780544281006,True,0.3929058015346527,400
