time,representation,source_left,source_right,representation_distance,target_distance,lift_difference,exact_representation_collision
0.03125,universal_cover_X,23,62,0.6063239357133257,1.0479600554994524,1.3228756724286255,False
0.03125,universal_cover_X,25,36,0.43591980307056305,0.9363796549511998,1.2247447862243612,False
0.03125,universal_cover_X,25,58,0.5303832780209854,0.5899910083664045,0.8660253521653044,False
0.03125,universal_cover_X,29,46,0.40303463726419564,0.8366576989428838,0.8660254080860366,False
0.03125,universal_cover_X,37,55,0.46934181827089083,0.48448188565449557,2.5809568260370952e-08,False
0.03125,universal_cover_X,47,56,0.4477166620817603,1.0498086433790665,1.2247448592248475,False
0.03125,wrapped_torus,1,13,2.8932849832655085,0.7834354003368964,1.2247448348913492,False
0.03125,wrapped_torus,3,22,2.9491774661139765,0.4068301754148347,1.3228756667965198,False
0.03125,wrapped_torus,3,24,2.8371042646544753,1.5377683058826173,2.5495097100386643,False
0.03125,wrapped_torus,6,42,2.4507491848117424,1.3854102304671405,2.1794494649332163,False
0.03125,wrapped_torus,9,45,2.2538623095642087,0.7641478380238843,1.322875655532298,False
0.03125,wrapped_torus,10,34,2.829236142483117,0.6940399797765869,1.6583123345239692,False
0.03125,wrapped_torus,14,23,2.965585254946448,0.7044017126931641,1.2247448379330352,False
0.03125,wrapped_torus,14,32,2.8041937805291695,1.116365873643695,1.5811388065233882,False
0.03125,wrapped_torus,17,58,2.6396389820224453,0.9159123181651257,1.3228756330038602,False
0.03125,wrapped_torus,18,59,2.952137856505739,0.5671814279348625,1.732050831227649,False
0.03125,wrapped_torus,18,62,2.8173918165462792,0.4317317246796379,1.4142135676414527,False
0.03125,wrapped_torus,21,35,2.4896815975162747,1.045788817710492,2.1794494273290477,False
0.03125,wrapped_torus,22,46,2.643051976703419,0.6923084392218394,0.866025427443211,False
0.03125,wrapped_torus,26,61,2.7757403401384373,0.41405253658690244,1.4142135729098075,False
0.03125,wrapped_torus,32,49,2.7988090239817116,0.7042238474183449,1.6583123951777035,False
0.03125,wrapped_torus,40,50,2.967573539466624,0.6399774016774504,1.2247448044744798,False
0.03125,wrapped_torus,45,48,2.848772256780961,1.242703047042232,1.322875649900186,False
0.03125,wrapped_torus,45,50,2.6830740490178164,0.9100430646177182,1.5811387829625816,False
0.03125,wrapped_torus,49,54,2.011788140764132,0.7751790340740842,1.5811387829625838,False
0.03125,wrapped_torus,52,53,2.5845001050776344,1.1138865549776056,1.6583123861919642,False
0.03125,wrapped_torus,60,63,2.7127978285599657,1.1696155725084794,1.9364916557901248,False
0.03125,production_input,0,27,4.099773165383208,0.8552730214138307,1.5000000161429252,False
0.03125,production_input,4,50,4.214049131338279,1.016826102050613,1.9364916423240035,False
0.03125,production_input,6,42,3.5250399301466415,1.3854102304671405,2.1794494649332163,False
0.03125,production_input,9,45,3.339328770959747,0.7641478380238843,1.322875655532298,False
0.03125,production_input,11,49,4.050310263562882,0.6324443555894912,1.6583123974241374,False
0.03125,production_input,12,18,4.085352499667923,0.9580100947941433,1.4999999850988408,False
0.03125,production_input,13,15,4.288517358614306,0.8720433325383712,1.4999999670932713,False
0.03125,production_input,14,15,4.31468995863151,0.3363997787961278,6.352138865832771e-08,False
0.03125,production_input,14,23,4.277550337611996,0.7044017126931641,1.2247448379330352,False
0.03125,production_input,18,43,4.1943515776385825,1.0583845044850992,1.8708287013519769,False
0.03125,production_input,19,34,4.154981315291973,0.49729521312118535,1.2247448044744838,False
0.03125,production_input,25,36,3.6182786105428053,0.9363796549511998,1.2247447862243612,False
0.03125,production_input,26,59,4.258519379862402,1.1503873399676703,2.3452078811030668,False
0.03125,production_input,32,33,4.318671365343553,0.809877122429288,1.4142135202262516,False
0.03125,production_input,34,50,4.306113474472926,1.3309239783441766,2.1213202452169972,False
0.03125,production_input,35,54,4.045796544488556,0.6290033325739558,1.3228756104754196,False
0.03125,production_input,40,50,4.268723125810824,0.6399774016774504,1.2247448044744798,False
0.03125,production_input,43,54,4.054373733877499,1.163987640747074,1.5811388512889162,False
0.03125,production_input,47,56,4.299362413170385,1.0498086433790665,1.2247448592248475,False
0.03125,production_input,49,54,3.479848179968784,0.7751790340740842,1.5811387829625838,False
0.03125,production_input,60,63,3.7365361668497004,1.1696155725084794,1.9364916557901248,False
0.0625,universal_cover_X,1,33,0.5899598980207155,1.0089102444051619,0.8660254381972002,False
0.0625,universal_cover_X,1,53,0.5556672925573991,1.220248718329893,1.4999999552965178,False
0.0625,universal_cover_X,5,25,0.4848246240512751,0.5171462470783046,7.146345858599389e-08,False
0.0625,universal_cover_X,5,58,0.5433373930065645,0.8837418960068439,0.8660253521653052,False
0.0625,universal_cover_X,7,27,0.6161751106794081,1.2777221400093262,1.6583124007937875,False
0.0625,universal_cover_X,9,44,0.4472650198934095,0.9669695882643794,1.2247448774749656,False
0.0625,universal_cover_X,13,53,0.6087359412578873,0.9963526020683572,0.866025334958925,False
0.0625,universal_cover_X,14,15,0.31537480472706886,0.3363997787961278,6.352138865832771e-08,False
0.0625,universal_cover_X,14,34,0.6163628891483148,0.9057597881151799,1.2247447983911082,False
0.0625,universal_cover_X,15,29,0.5544731344424091,0.6688061324321785,0.8660253736732783,False
0.0625,universal_cover_X,16,29,0.5464032369750231,0.8448795157491398,0.8660254080860349,False
0.0625,universal_cover_X,16,46,0.5254967051504211,0.5605298191984143,4.9421560627171804e-08,False
0.0625,universal_cover_X,16,62,0.5505870368955738,0.9568649560669178,0.8660254209908186,False
0.0625,universal_cover_X,19,43,0.5733036997129065,0.8124582327733996,0.8660254381971986,False
0.0625,universal_cover_X,22,46,0.4541577591354887,0.6923084392218394,0.866025427443211,False
0.0625,universal_cover_X,25,36,0.45452787623173146,0.9363796549511998,1.2247447862243612,False
0.0625,universal_cover_X,25,58,0.5350024633449021,0.5899910083664045,0.8660253521653044,False
0.0625,universal_cover_X,29,46,0.40110206753415933,0.8366576989428838,0.8660254080860366,False
0.0625,universal_cover_X,37,55,0.45420175934418794,0.48448188565449557,2.5809568260370952e-08,False
0.0625,universal_cover_X,44,57,0.6099278755297919,0.6505897300369208,6.664001872172836e-08,False
0.0625,universal_cover_X,47,56,0.4583482703415963,1.0498086433790665,1.2247448592248475,False
0.0625,wrapped_torus,1,13,2.8839913712227125,0.7834354003368964,1.2247448348913492,False
0.0625,wrapped_torus,3,22,2.8756489334025277,0.4068301754148347,1.3228756667965198,False
0.0625,wrapped_torus,6,42,2.6102107941378163,1.3854102304671405,2.1794494649332163,False
0.0625,wrapped_torus,9,45,2.235010897780867,0.7641478380238843,1.322875655532298,False
0.0625,wrapped_torus,10,34,2.8275598643769118,0.6940399797765869,1.6583123345239692,False
0.0625,wrapped_torus,14,15,2.947133920437077,0.3363997787961278,6.352138865832771e-08,False
0.0625,wrapped_torus,14,23,2.9437765738277695,0.7044017126931641,1.2247448379330352,False
0.0625,wrapped_torus,14,32,2.849167975039243,1.116365873643695,1.5811388065233882,False
0.0625,wrapped_torus,17,58,2.6824396228195235,0.9159123181651257,1.3228756330038602,False
0.0625,wrapped_torus,18,59,2.9352261656664806,0.5671814279348625,1.732050831227649,False
0.0625,wrapped_torus,18,62,2.7468048264580105,0.4317317246796379,1.4142135676414527,False
0.0625,wrapped_torus,21,35,2.647616505405453,1.045788817710492,2.1794494273290477,False
