time,representation,pair_count,exact_collision_count,near_distance_threshold,near_pair_count,alias_collision_count,max_local_target_ratio,median_local_target_ratio
0.65625,universal_cover_X,2016,0,0.29042289437057356,21,21,4.138419982978038,4.138419554035551
0.65625,wrapped_torus,2016,0,0.5436962806703156,21,21,1.254615662016828,1.0436292264496914
0.65625,production_input,2016,0,0.4975198807940535,21,21,2.1248280659804992,1.3299995348385847
0.6875,universal_cover_X,2016,0,0.26965269167735245,21,21,4.598819060131294,4.598818535802735
0.6875,wrapped_torus,2016,0,0.5382553244660542,21,21,1.2704838300075587,1.0577389826389068
0.6875,production_input,2016,0,0.47657674699598035,21,21,2.2486057666136334,1.338833889900894
0.71875,universal_cover_X,2016,0,0.24885708809542664,21,21,5.164137684378253,5.164137030175307
0.71875,wrapped_torus,2016,0,0.5326997552856569,21,21,1.2861601475870201,1.0716218080026394
0.71875,production_input,2016,0,0.45131246305858486,21,21,2.3400073108786668,1.4002627920612147
0.75,universal_cover_X,2016,0,0.22855443651762858,21,21,5.872743960931492,5.872743123964619
0.75,wrapped_torus,2016,0,0.5280456577231003,21,21,1.2996739463045057,1.0836315829776693
0.75,production_input,2016,0,0.4243044149340204,21,21,2.397114183857216,1.521758181988935
0.78125,universal_cover_X,2016,0,0.20860176222096047,21,21,6.790506318450428,6.790505212434681
0.78125,wrapped_torus,2016,0,0.5243976856601754,21,21,1.3097109421810142,1.093181447892588
0.78125,production_input,2016,0,0.39268813636969063,21,21,2.1310871976671346,1.5964772444873903
0.8125,universal_cover_X,2016,0,0.18904518102951032,21,21,8.021581075058798,8.021579550774694
0.8125,wrapped_torus,2016,0,0.5202754384320172,21,21,1.3203447179260563,1.1021179890527322
0.8125,production_input,2016,0,0.38384460138755305,21,21,2.3957750519540424,1.7271403565611574
0.84375,universal_cover_X,2016,0,0.17014066084978383,21,21,9.74097089226605,9.740968671056978
0.84375,wrapped_torus,2016,0,0.5165573043818115,21,21,1.3300676424199704,1.110728079035682
0.84375,production_input,2016,0,0.4188871305813012,21,21,2.1320104164834732,1.5305014702917852
0.875,universal_cover_X,2016,0,0.15157395836627058,21,21,12.335961342427947,12.335957826255164
0.875,wrapped_torus,2016,0,0.5144737619943418,21,21,1.3354896868506287,1.115661468026614
0.875,production_input,2016,0,0.4551374824834561,21,21,2.0028220260002385,1.4396827326744246
0.90625,universal_cover_X,2016,0,0.13333443655980148,21,21,16.67854568649244,16.67853934788103
0.90625,wrapped_torus,2016,0,0.5128380488790574,21,21,1.339762639846862,1.1195471891825286
0.90625,production_input,2016,0,0.4830443031727544,21,21,1.8876263404236393,1.3301849413956652
0.9375,universal_cover_X,2016,0,0.1156910106605899,21,21,25.370311583801563,25.370297120980243
0.9375,wrapped_torus,2016,0,0.511724179645606,21,21,1.3426883168454171,1.1222182117748023
0.9375,production_input,2016,0,0.49412614438713937,21,21,1.8322445913138696,1.3533317031623118
0.96875,universal_cover_X,2016,0,0.09863880225446577,21,21,51.458199530258746,51.45814086083389
0.96875,wrapped_torus,2016,0,0.5105436223402826,21,21,1.3457982887472282,1.1249539454164752
0.96875,production_input,2016,0,0.4900748080247612,21,21,1.8643801020319064,1.3778028964150022
1.0,universal_cover_X,2016,0,0.08215843293087804,21,21,59333693.64138932,18240218.407497227
1.0,wrapped_torus,2016,2,0.30035832397756446,21,21,2038101550.5302632,4.802073157803643
1.0,production_input,2016,2,0.2867863643184039,21,21,1027946450282.0737,4.3095465139293045
