step,direct,rollout,semigroup,contractive,mean_map_distance_ratio,max_map_distance_ratio,loss
3300,0.9972485303878784,0.9967030882835388,0.00032200649729929864,0.00020151276839897037,0.9957232475280762,1.0620852708816528,1.99447500705719
3400,0.9971621036529541,0.994974672794342,0.0004835632862523198,0.00026880332734435797,0.9988770484924316,1.0662002563476562,1.9928890466690063
3500,0.9999685883522034,0.9963315725326538,0.0004219765542075038,0.000722370867151767,1.0031452178955078,1.1378456354141235,1.9974446296691895
3600,0.9995778799057007,0.9968109130859375,0.0004582153633236885,0.0001653264625929296,0.9971030950546265,1.0370423793792725,1.9970123767852783
3700,0.9991381168365479,0.9985010027885437,0.0003721266984939575,0.43732571601867676,1.1088905334472656,5.4384918212890625,2.4353370666503906
3800,0.9990636706352234,0.9981685876846313,0.00025552220176905394,0.4437604546546936,1.0830917358398438,6.3012590408325195,2.4412481784820557
3900,0.997192919254303,0.9951671361923218,0.0005420393426902592,0.019126810133457184,1.0350004434585571,1.9549784660339355,2.012028932571411
4000,0.9971532821655273,0.9982582926750183,0.00023256754502654076,0.0016106287948787212,1.0089855194091797,1.265160322189331,1.9972548484802246
4100,1.0005340576171875,0.9958997368812561,0.0003998991451226175,0.00019634085765574127,0.9912431240081787,1.0630890130996704,1.9970300197601318
4200,0.9986861944198608,0.997633695602417,0.0004929839051328599,0.03826388344168663,1.0343040227890015,2.4557693004608154,2.03507661819458
4300,0.9998491406440735,0.9972785711288452,0.0003034173569176346,0.0007216720841825008,1.0072150230407715,1.092742919921875,1.9981528520584106
4400,0.9985422492027283,0.9923784136772156,0.0005789805436506867,0.00797110702842474,1.0181198120117188,1.611045241355896,1.9994707107543945
4500,0.9969406127929688,0.996292769908905,0.0007796191493980587,0.21836958825588226,1.0890798568725586,4.544520378112793,2.2123825550079346
4600,0.9981808066368103,0.9977065920829773,0.00024721186491660774,0.0035520063247531652,1.0134389400482178,1.4217231273651123,1.999686598777771
4700,0.9995898604393005,0.9995511770248413,0.0005314833833836019,0.24614763259887695,1.0752716064453125,4.895662784576416,2.2458200454711914
