panel,group,value,graphs,decisions,model_nll,empirical_nll,uniform_nll,model_minus_empirical
calibration,partition_lambda,9751,18,72,2.7777300344573126,3.5868666129149123,4.240001838691887,-0.8091365784575992
calibration,partition_lambda,9752,707,2828,2.987456357483311,3.332715775856332,4.167503798776055,-0.34525941837302143
calibration,partition_lambda,9794,48,192,3.03961069136858,3.1271963937951663,4.2266134175186245,-0.08758570242658631
calibration,partition_lambda,9836,5,20,3.3809031903743745,3.6405193745598154,4.229501488608976,-0.2596161841854408
calibration,partition_lambda,10187,250,1000,2.9840728037059305,3.28632095908879,4.001358277057979,-0.30224815538285943
calibration,partition_lambda,10189,214,856,2.988435591214171,3.645454248226072,4.119943114081614,-0.6570186570119009
calibration,partition_lambda,10191,257,1028,2.982773585455195,3.3720966506091257,4.2211493899786925,-0.3893230651539307
calibration,partition_lambda,10192,111,444,2.966323635062656,3.685909520235903,4.2110477219552855,-0.7195858851732467
calibration,partition_lambda,10209,125,500,2.8761269392967224,3.1128460342367457,4.19404758335732,-0.23671909494002324
calibration,partition_lambda,10210,943,3772,2.879362537477201,3.356783404957883,4.310686497043802,-0.47742086748068224
calibration,partition_lambda,10212,1693,6772,2.9821587088927672,3.551581657196754,4.310686497043802,-0.569422948303987
calibration,partition_lambda,10214,100,400,3.072613337635994,3.260714839148087,4.3106864970438,-0.1881015015120929
calibration,partition_lambda,10218,91,364,2.720201021039879,3.017222470458765,4.310686497043801,-0.2970214494188863
calibration,partition_lambda,10232,9,36,3.5925296909279294,4.62806675318678,4.3106864970438,-1.0355370622588507
calibration,partition_lambda,10655,384,1536,2.7375303574178056,3.010903864154461,4.169416693544351,-0.27337350673665534
calibration,partition_lambda,10676,577,2308,2.742451141803062,3.367478624405977,4.310686497043802,-0.6250274826029146
calibration,partition_lambda,10680,134,536,2.9004588102671636,3.1846312647997,4.310686497043801,-0.2841724545325365
calibration,partition_lambda,19448,106,424,3.095781426384764,3.3791294221930177,3.963858888310051,-0.2833479958082537
calibration,partition_lambda,19450,209,836,3.2146064774200105,4.005110701585577,4.001765434116263,-0.7905042241655671
calibration,partition_lambda,19451,5,20,3.1924106240272523,3.849664608282113,4.033320986596893,-0.6572539842548604
calibration,partition_lambda,19452,432,1728,2.844725558663615,3.3417542996638616,4.01364808566765,-0.4970287410002464
calibration,partition_lambda,19456,105,420,2.6291484012845014,3.0452970398284727,4.0423878885121995,-0.41614863854397083
calibration,partition_lambda,19470,6,24,2.8337213595708213,4.637998068628563,4.276234509695855,-1.804276709057741
calibration,partition_lambda,19471,55,220,3.2954343324357813,3.6073300583385763,4.172069798501218,-0.31189572590279513
calibration,partition_lambda,19472,8,32,3.682988151907921,4.619627349163191,4.262394940684005,-0.9366391972552707
calibration,partition_lambda,19492,212,848,2.94797366165187,3.4515893960509287,3.9606876386599428,-0.5036157343990585
calibration,partition_lambda,19500,501,2004,3.094720955425037,3.4192418491790826,4.191966557556945,-0.32452089375404564
calibration,partition_lambda,20380,294,1176,2.9202770541111627,3.4656516143860028,4.242388208397586,-0.5453745602748397
calibration,partition_lambda,204210,13,65,2.382080995119535,2.9877545981879168,3.9231584888681157,-0.6056736030683816
calibration,partition_lambda,204230,4,20,2.8783802032470702,4.207739971660995,4.23019478207665,-1.3293597684139251
calibration,partition_lambda,204720,4,20,3.093331974744797,3.401182054346772,4.182492472447504,-0.3078500796019753
calibration,partition_lambda,408420,10,50,2.3277425467967987,2.632541655894417,3.859988232825227,-0.30479910909761826
calibration,fit_event_frequency_tier,rare_lt_10,916,1036,4.614519965464544,5.385617913657194,4.241051781713212,-0.7710979481926508
calibration,fit_event_frequency_tier,mid_10_99,7898,10885,4.091057823582641,4.539298987766353,4.2238259005369,-0.4482411641837104
calibration,fit_event_frequency_tier,frequent_ge_100,25882,78582,3.1432914208770684,3.5015867711621422,4.1507515187331885,-0.35829535028507364
calibration,element_token,0,822,822,3.1495025361686437,3.7216816909763035,4.310205596217998,-0.5721791548076595
calibration,element_token,2,2284,2284,2.727292387685926,3.1842845378788245,4.30546120620344,-0.4569921501928984
calibration,element_token,3,356,356,4.268574866685975,4.7859563418482995,4.3079870727597305,-0.5173814751623255
calibration,element_token,4,405,405,3.508274073365294,4.343684799739378,4.307157278372182,-0.8354107263740843
calibration,element_token,5,548,548,2.8018152299914916,3.9105852544071538,4.300310759682127,-1.1087700244156617
calibration,element_token,6,571,571,3.3565070806576784,4.123150674006646,4.308293365159828,-0.7666435933489669
calibration,element_token,7,2119,2119,2.1412903674161337,2.2747717815760775,4.32499593943617,-0.13348141415994333
calibration,element_token,8,934,934,2.5870597920274836,2.6702497378038608,4.327374812183783,-0.08318994577637735
calibration,element_token,10,1746,1746,2.869166035149652,3.473333109044587,4.3056746325736786,-0.6041670738949353
calibration,element_token,11,1508,1508,3.2202651879357407,3.608177246744417,4.302284071384632,-0.38791205880867585
calibration,element_token,12,1451,1451,3.318775061571869,3.683577656531887,4.304829337189351,-0.3648025949600177
calibration,element_token,13,948,948,3.226611174737351,3.9611860750213763,4.305193864580214,-0.7345749002840258
calibration,element_token,14,749,749,3.478391175117289,4.219091459367527,4.302000309278682,-0.740700284250238
calibration,element_token,15,1296,1296,2.753264462782277,3.133155483954277,4.319874396068393,-0.3798910211719998
calibration,element_token,16,944,944,2.8146244648654584,3.140308061623419,4.3232073112975,-0.32568359675796105
calibration,element_token,18,1494,1494,2.7924806772465685,3.5466687325697768,4.2984065041981525,-0.7541880553232077
calibration,element_token,19,1474,1474,3.581328756531026,3.8333382153061835,4.2963813604047365,-0.25200945877515735
calibration,element_token,20,1494,1494,3.4950570458548773,3.7890813024830363,4.294344494437953,-0.29402425662815856
calibration,element_token,21,645,645,4.10748797793721,4.533300510738358,4.294034034625457,-0.42581253280114634
calibration,element_token,22,419,419,4.1801841048465995,4.892272767282022,4.279315963770998,-0.7120886624354221
calibration,element_token,23,428,428,4.088203870247457,4.820849683163746,4.278567331215041,-0.7326458129162883
calibration,element_token,24,846,846,3.705743162908171,4.308291736083763,4.271397617823117,-0.6025485731755923
calibration,element_token,25,678,678,4.0480819719027625,4.5746381794107185,4.271659300990445,-0.5265562075079556
calibration,element_token,26,924,924,3.716280958998255,4.279760355237387,4.275251504671204,-0.5634793962391313
calibration,element_token,27,1401,1401,3.418986644513432,3.8584210553109135,4.275074986107971,-0.4394344107974818
calibration,element_token,28,1680,1680,3.1573524533992723,3.6218831295464917,4.267369895970849,-0.4645306761472196
calibration,element_token,29,1950,1950,3.30222541931348,3.5812031685543935,4.261449062922977,-0.2789777492409142
calibration,element_token,30,2007,2007,3.2433288737678625,3.5126424783351355,4.259254838581349,-0.26931360456727305
calibration,element_token,31,1057,1057,3.3663386643327624,3.9664843599736193,4.261751970312333,-0.6001456956408573
calibration,element_token,32,808,808,3.7513495773667156,4.344307303608328,4.263626472757572,-0.5929577262416132
calibration,element_token,33,1395,1395,2.7235875574064083,3.03928746669011,4.3074423807999755,-0.31569990928370134
calibration,element_token,34,919,919,3.2306272222116283,3.4728559995734756,4.3111758128787,-0.24222877736184717
calibration,element_token,36,1451,1451,2.7315849511891215,3.5926258233154975,4.245385614708509,-0.8610408721263759
calibration,element_token,37,1321,1321,3.389281037537822,3.8970459603818908,4.25027712382714,-0.5077649228440689
calibration,element_token,38,1741,1741,3.318295620831178,3.6408344903745453,4.248284765765223,-0.3225388695433669
calibration,element_token,39,726,726,4.011905880670573,4.482689560570894,4.221238905266169,-0.4707836799003209
calibration,element_token,40,350,350,4.280961309841701,5.094957700912477,4.227240265224561,-0.8139963910707761
calibration,element_token,41,258,258,4.183284811271253,5.164015402015102,4.209408020098181,-0.9807305907438494
