source,assignment,integer_lift,translation_x,translation_y,translation_z,coupling_cost,second_coupling_cost,coupling_margin
23,"0,1,2,3","0,0,0,0,1,0,-1,0,0,0,0,-1",0.32215777039527893,-0.15488237142562866,0.37817683815956116,5.93418025970459,11.290645599365234,5.3564653396606445
24,"0,1,2,3","0,0,0,-1,0,0,0,0,-1,-1,-1,-1",0.6160843968391418,0.3231946527957916,0.5400382280349731,10.67251968383789,11.366498947143555,0.6939792633056641
25,"0,1,2,3","0,0,0,0,0,0,-1,-1,0,0,-1,0",0.49733346700668335,0.5453082919120789,0.2266903817653656,6.57004451751709,9.506641387939453,2.9365968704223633
26,"0,1,2,3","0,0,0,-1,0,-1,-1,-1,0,0,-1,-1",0.615871787071228,0.5446780920028687,0.5347075462341309,7.861464500427246,8.876128196716309,1.0146636962890625
27,"0,1,2,3","0,0,0,-1,0,0,0,0,0,0,-1,0",0.4617732763290405,0.07141908258199692,-0.08929666131734848,9.82878589630127,10.3468656539917,0.5180797576904297
28,"0,1,2,3","0,0,0,0,-1,0,0,-1,0,0,-1,0",0.12460476160049438,1.037876844406128,0.11374559253454208,5.461597442626953,9.517148971557617,4.055551528930664
29,"0,1,2,3","0,0,0,0,0,0,0,0,0,0,-1,-1",-0.15181481838226318,0.2797088027000427,0.5560747385025024,6.7457170486450195,8.315250396728516,1.569533348083496
30,"0,1,2,3","0,0,0,-1,0,1,-1,0,0,-1,0,0",0.8150249123573303,0.17481234669685364,-0.17904679477214813,6.897246837615967,8.800826072692871,1.9035792350769043
31,"0,1,2,3","0,0,0,0,0,-1,0,0,0,0,-1,-1",0.31742146611213684,0.5521235466003418,0.854218602180481,6.712605953216553,10.565435409545898,3.8528294563293457
32,"0,1,2,3","0,0,0,0,0,0,-1,-1,1,0,0,0",0.47479307651519775,0.3251957893371582,-0.13406136631965637,11.31555461883545,11.652099609375,0.3365449905395508
33,"0,1,2,3","0,0,0,-1,0,0,-1,-1,0,-1,0,-1",1.060556173324585,0.5175293684005737,0.2265433967113495,12.38736343383789,13.407007217407227,1.019643783569336
34,"0,1,2,3","0,0,0,-1,0,-1,-1,0,-1,-1,0,-2",0.9952017664909363,-0.12214647233486176,0.9687691926956177,12.576711654663086,13.3571195602417,0.7804079055786133
35,"0,1,2,3","0,0,0,-1,0,-1,-1,0,-1,0,0,-1",0.6054392457008362,0.14415335655212402,0.7599231004714966,9.592607498168945,10.507135391235352,0.9145278930664062
36,"0,1,2,3","0,0,0,-1,-1,0,-2,-1,0,-1,-1,0",1.0299248695373535,0.7243548631668091,0.21527042984962463,10.958650588989258,11.491228103637695,0.5325775146484375
37,"0,1,2,3","0,0,0,-1,0,-1,-1,0,-1,0,-1,-1",0.7339664101600647,0.5647045373916626,0.6265479326248169,5.216889381408691,8.358711242675781,3.14182186126709
