variant,time,quantity,pairwise_rms
geometry_typewise_ot_no_drift_normalized,0.0625,state_lattice_log,0.02041514217853546
geometry_typewise_ot_no_drift_normalized,0.0625,velocity_type_probability,0.0
geometry_typewise_ot_no_drift_normalized,0.0625,velocity_fractional_coordinate,0.028900787234306335
geometry_typewise_ot_no_drift_normalized,0.0625,velocity_lattice_log,0.3266424238681793
geometry_typewise_ot_no_drift_normalized,0.125,state_type_probability,0.09166985005140305
geometry_typewise_ot_no_drift_normalized,0.125,state_fractional_coordinate,0.003611572552472353
geometry_typewise_ot_no_drift_normalized,0.125,state_lattice_log,0.04083031043410301
geometry_typewise_ot_no_drift_normalized,0.125,velocity_type_probability,0.0
geometry_typewise_ot_no_drift_normalized,0.125,velocity_fractional_coordinate,0.028626462444663048
geometry_typewise_ot_no_drift_normalized,0.125,velocity_lattice_log,0.3266425132751465
geometry_typewise_ot_no_drift_normalized,0.1875,state_type_probability,0.09166985005140305
geometry_typewise_ot_no_drift_normalized,0.1875,state_fractional_coordinate,0.005400586873292923
geometry_typewise_ot_no_drift_normalized,0.1875,state_lattice_log,0.06124547868967056
geometry_typewise_ot_no_drift_normalized,0.1875,velocity_type_probability,0.0
geometry_typewise_ot_no_drift_normalized,0.1875,velocity_fractional_coordinate,0.028076564893126488
geometry_typewise_ot_no_drift_normalized,0.1875,velocity_lattice_log,0.3266424536705017
geometry_typewise_ot_no_drift_normalized,0.25,state_type_probability,0.09166985005140305
geometry_typewise_ot_no_drift_normalized,0.25,state_fractional_coordinate,0.007155152037739754
geometry_typewise_ot_no_drift_normalized,0.25,state_lattice_log,0.08166064321994781
geometry_typewise_ot_no_drift_normalized,0.25,velocity_type_probability,0.0
geometry_typewise_ot_no_drift_normalized,0.25,velocity_fractional_coordinate,0.027274835854768753
geometry_typewise_ot_no_drift_normalized,0.25,velocity_lattice_log,0.3266424536705017
geometry_typewise_ot_no_drift_normalized,0.3125,state_type_probability,0.09166985005140305
geometry_typewise_ot_no_drift_normalized,0.3125,state_fractional_coordinate,0.008859501220285892
geometry_typewise_ot_no_drift_normalized,0.3125,state_lattice_log,0.10207581520080566
geometry_typewise_ot_no_drift_normalized,0.3125,velocity_type_probability,0.0
geometry_typewise_ot_no_drift_normalized,0.3125,velocity_fractional_coordinate,0.026253005489706993
geometry_typewise_ot_no_drift_normalized,0.3125,velocity_lattice_log,0.3266424238681793
geometry_typewise_ot_no_drift_normalized,0.375,state_type_probability,0.09166985005140305
geometry_typewise_ot_no_drift_normalized,0.375,state_fractional_coordinate,0.010499820113182068
geometry_typewise_ot_no_drift_normalized,0.375,state_lattice_log,0.12249095737934113
geometry_typewise_ot_no_drift_normalized,0.375,velocity_type_probability,0.0
geometry_typewise_ot_no_drift_normalized,0.375,velocity_fractional_coordinate,0.040274638682603836
geometry_typewise_ot_no_drift_normalized,0.375,velocity_lattice_log,0.3266425132751465
geometry_typewise_ot_no_drift_normalized,0.4375,state_type_probability,0.09166985005140305
geometry_typewise_ot_no_drift_normalized,0.4375,state_fractional_coordinate,0.011519154533743858
geometry_typewise_ot_no_drift_normalized,0.4375,state_lattice_log,0.14290611445903778
geometry_typewise_ot_no_drift_normalized,0.4375,velocity_type_probability,0.0
geometry_typewise_ot_no_drift_normalized,0.4375,velocity_fractional_coordinate,0.022973882034420967
geometry_typewise_ot_no_drift_normalized,0.4375,velocity_lattice_log,0.3266424536705017
geometry_typewise_ot_no_drift_normalized,0.5,state_type_probability,0.09166985005140305
geometry_typewise_ot_no_drift_normalized,0.5,state_fractional_coordinate,0.012875119224190712
geometry_typewise_ot_no_drift_normalized,0.5,state_lattice_log,0.16332127153873444
geometry_typewise_ot_no_drift_normalized,0.5,velocity_type_probability,0.0
geometry_typewise_ot_no_drift_normalized,0.5,velocity_fractional_coordinate,0.021541453897953033
geometry_typewise_ot_no_drift_normalized,0.5,velocity_lattice_log,0.3266424238681793
geometry_typewise_ot_no_drift_normalized,0.5625,state_type_probability,0.09166985005140305
geometry_typewise_ot_no_drift_normalized,0.5625,state_fractional_coordinate,0.014158523641526699
geometry_typewise_ot_no_drift_normalized,0.5625,state_lattice_log,0.1837364137172699
geometry_typewise_ot_no_drift_normalized,0.5625,velocity_type_probability,0.0
geometry_typewise_ot_no_drift_normalized,0.5625,velocity_fractional_coordinate,0.02008838951587677
geometry_typewise_ot_no_drift_normalized,0.5625,velocity_lattice_log,0.3266424238681793
geometry_typewise_ot_no_drift_normalized,0.625,state_type_probability,0.09166985005140305
geometry_typewise_ot_no_drift_normalized,0.625,state_fractional_coordinate,0.015362400561571121
geometry_typewise_ot_no_drift_normalized,0.625,state_lattice_log,0.20415158569812775
geometry_typewise_ot_no_drift_normalized,0.625,velocity_type_probability,0.0
geometry_typewise_ot_no_drift_normalized,0.625,velocity_fractional_coordinate,0.034535039216279984
geometry_typewise_ot_no_drift_normalized,0.625,velocity_lattice_log,0.3266424238681793
