repeat,material_id,identity_periodic_cost,all_atom_ot_periodic_cost,typewise_ot_periodic_cost,typewise_ot_not_worse_than_identity,no_drift_mean_abs_max,translation_quotient_terminal_rms,simplex_nonnegative,simplex_unit_sum_max_error,simplex_tangent_sum_max_error
6,JVASP-1180,0.1694817990064621,0.1694817990064621,0.1694817990064621,True,7.450580596923828e-09,3.750043475747589e-08,True,0.0,3.814697265625e-06
6,JVASP-22673,0.194777250289917,0.14554712176322937,0.194777250289917,True,1.1175870895385742e-08,3.332000986233652e-08,True,0.0,1.9073486328125e-06
7,JVASP-1180,0.291978657245636,0.20312629640102386,0.24704387784004211,True,1.4901161193847656e-08,2.5448578355735663e-08,True,0.0,3.814697265625e-06
7,JVASP-22673,0.2509828805923462,0.15775030851364136,0.21671071648597717,True,7.450580596923828e-09,8.603189272093914e-09,True,5.960464477539063e-08,2.384185791015625e-06
8,JVASP-1180,0.3141127824783325,0.0698327124118805,0.22738194465637207,True,1.1175870895385742e-08,2.9802322387695312e-08,True,5.960464477539063e-08,1.9073486328125e-06
8,JVASP-22673,0.174639031291008,0.1554480344057083,0.174639031291008,True,7.450580596923828e-09,1.9237317516740404e-08,True,0.0,2.6226043701171875e-06
9,JVASP-1180,0.2765776216983795,0.14043128490447998,0.18020454049110413,True,1.1175870895385742e-08,2.4333495218797907e-08,True,5.960464477539063e-08,2.384185791015625e-06
9,JVASP-22673,0.26297527551651,0.15775346755981445,0.26297527551651,True,7.450580596923828e-09,1.4266776204863163e-08,True,1.1920928955078125e-07,9.5367431640625e-07
10,JVASP-1180,0.3317108452320099,0.12702924013137817,0.15641933679580688,True,1.1175870895385742e-08,2.5448578355735663e-08,True,5.960464477539063e-08,2.0265579223632812e-06
10,JVASP-22673,0.17520806193351746,0.13532589375972748,0.14629660546779633,True,1.4901161193847656e-08,1.666000493116826e-08,True,5.960464477539063e-08,9.5367431640625e-07
11,JVASP-1180,0.1957252323627472,0.17830398678779602,0.1957252323627472,True,1.1175870895385742e-08,2.4333495218797907e-08,True,1.1920928955078125e-07,1.430511474609375e-06
11,JVASP-22673,0.2940063774585724,0.15981055796146393,0.24063526093959808,True,0.0,2.0629723707088488e-08,True,0.0,2.86102294921875e-06
12,JVASP-1180,0.20664750039577484,0.1450566202402115,0.17602327466011047,True,7.450580596923828e-09,2.2351741790771484e-08,True,0.0,9.5367431640625e-07
12,JVASP-22673,0.36489632725715637,0.16223250329494476,0.1679859459400177,True,1.1175870895385742e-08,0.0,True,1.1920928955078125e-07,2.6226043701171875e-06
13,JVASP-1180,0.2715400755405426,0.13665369153022766,0.17234745621681213,True,7.450580596923828e-09,1.9237317516740404e-08,True,1.1920928955078125e-07,3.4570693969726562e-06
13,JVASP-22673,0.30421435832977295,0.16422057151794434,0.22804374992847443,True,7.450580596923828e-09,1.666000493116826e-08,True,0.0,9.5367431640625e-07
14,JVASP-1180,0.34119388461112976,0.17417308688163757,0.17417308688163757,True,7.450580596923828e-09,4.365642070069953e-08,True,1.1920928955078125e-07,3.814697265625e-06
14,JVASP-22673,0.1961710900068283,0.1278352588415146,0.18166998028755188,True,7.450580596923828e-09,0.0,True,1.1920928955078125e-07,2.86102294921875e-06
15,JVASP-1180,0.23025530576705933,0.16143488883972168,0.16143488883972168,True,7.450580596923828e-09,2.107342389479072e-08,True,1.1920928955078125e-07,1.9073486328125e-06
15,JVASP-22673,0.2395453155040741,0.16132226586341858,0.22123408317565918,True,1.4901161193847656e-08,3.4412757088375656e-08,True,5.960464477539063e-08,2.384185791015625e-06
16,JVASP-1180,0.11505525559186935,0.11505525559186935,0.11505525559186935,True,7.450580596923828e-09,2.9802322387695312e-08,True,5.960464477539063e-08,1.9073486328125e-06
