subspace,time,quantity,pairwise_rms
geometry,0.5625,velocity_lattice_log,0.40485066175460815
geometry,0.625,state_type_logit,0.09166985005140305
geometry,0.625,state_fractional_coordinate,0.016980711370706558
geometry,0.625,state_lattice_log,0.2530316412448883
geometry,0.625,velocity_type_logit,0.3941437005996704
geometry,0.625,velocity_fractional_coordinate,0.02223307266831398
geometry,0.625,velocity_lattice_log,0.40485066175460815
geometry,0.6875,state_type_logit,0.09166985005140305
geometry,0.6875,state_fractional_coordinate,0.017691679298877716
geometry,0.6875,state_lattice_log,0.27833476662635803
geometry,0.6875,velocity_type_logit,0.3941437005996704
geometry,0.6875,velocity_fractional_coordinate,0.02068772353231907
geometry,0.6875,velocity_lattice_log,0.4048507511615753
geometry,0.75,state_type_logit,0.09166985005140305
geometry,0.75,state_fractional_coordinate,0.018437732011079788
geometry,0.75,state_lattice_log,0.30363792181015015
geometry,0.75,velocity_type_logit,0.3941437005996704
geometry,0.75,velocity_fractional_coordinate,0.01922859065234661
geometry,0.75,velocity_lattice_log,0.40485066175460815
geometry,0.8125,state_type_logit,0.09166985005140305
geometry,0.8125,state_fractional_coordinate,0.019196035340428352
geometry,0.8125,state_lattice_log,0.3289410471916199
geometry,0.8125,velocity_type_logit,0.3941437005996704
geometry,0.8125,velocity_fractional_coordinate,0.01785316877067089
geometry,0.8125,velocity_lattice_log,0.40485066175460815
geometry,0.875,state_type_logit,0.09166985005140305
geometry,0.875,state_fractional_coordinate,0.01994995027780533
geometry,0.875,state_lattice_log,0.354244202375412
geometry,0.875,velocity_type_logit,0.3941437005996704
geometry,0.875,velocity_fractional_coordinate,0.016558676958084106
geometry,0.875,velocity_lattice_log,0.40485066175460815
geometry,0.9375,state_type_logit,0.09166985005140305
geometry,0.9375,state_fractional_coordinate,0.020687628537416458
geometry,0.9375,state_lattice_log,0.3795473277568817
geometry,0.9375,velocity_type_logit,0.3941437005996704
geometry,0.9375,velocity_fractional_coordinate,0.01534215547144413
geometry,0.9375,velocity_lattice_log,0.40485066175460815
geometry,1.0,state_type_logit,0.09166985005140305
geometry,1.0,state_fractional_coordinate,0.021400880068540573
geometry,1.0,state_lattice_log,0.4048505127429962
joint,0.0,state_type_logit,0.0
joint,0.0,state_fractional_coordinate,0.0
joint,0.0,state_lattice_log,0.0
joint,0.0,velocity_type_logit,0.08530915528535843
joint,0.0,velocity_fractional_coordinate,0.015018816106021404
joint,0.0,velocity_lattice_log,0.31655368208885193
joint,0.0625,state_type_logit,0.00533182080835104
joint,0.0625,state_fractional_coordinate,0.0009386746096424758
joint,0.0625,state_lattice_log,0.019784608855843544
joint,0.0625,velocity_type_logit,0.08305143564939499
joint,0.0625,velocity_fractional_coordinate,0.013930242508649826
joint,0.0625,velocity_lattice_log,0.31377026438713074
joint,0.125,state_type_logit,0.010521721094846725
joint,0.125,state_fractional_coordinate,0.001809244160540402
joint,0.125,state_lattice_log,0.03939516097307205
joint,0.125,velocity_type_logit,0.08094503730535507
joint,0.125,velocity_fractional_coordinate,0.012918664142489433
joint,0.125,velocity_lattice_log,0.31103238463401794
joint,0.1875,state_type_logit,0.01557844877243042
joint,0.1875,state_fractional_coordinate,0.002616460435092449
joint,0.1875,state_lattice_log,0.058834441006183624
joint,0.1875,velocity_type_logit,0.07897713035345078
joint,0.1875,velocity_fractional_coordinate,0.011977859772741795
joint,0.1875,velocity_lattice_log,0.3083374798297882
joint,0.25,state_type_logit,0.02051006257534027
joint,0.25,state_fractional_coordinate,0.003364700824022293
joint,0.25,state_lattice_log,0.07810507714748383
joint,0.25,velocity_type_logit,0.0771360993385315
joint,0.25,velocity_fractional_coordinate,0.01110195554792881
joint,0.25,velocity_lattice_log,0.30568355321884155
joint,0.3125,state_type_logit,0.025323987007141113
joint,0.3125,state_fractional_coordinate,0.004058002959936857
joint,0.3125,state_lattice_log,0.09720954298973083
joint,0.3125,velocity_type_logit,0.07541122287511826
joint,0.3125,velocity_fractional_coordinate,0.010285427793860435
joint,0.3125,velocity_lattice_log,0.3030683696269989
joint,0.375,state_type_logit,0.030027063563466072
joint,0.375,state_fractional_coordinate,0.0047000618651509285
joint,0.375,state_lattice_log,0.11615027487277985
joint,0.375,velocity_type_logit,0.07379286736249924
joint,0.375,velocity_fractional_coordinate,0.009523127228021622
joint,0.375,velocity_lattice_log,0.3004904091358185
joint,0.4375,state_type_logit,0.03462560474872589
joint,0.4375,state_fractional_coordinate,0.005294291768223047
joint,0.4375,state_lattice_log,0.1349295675754547
joint,0.4375,velocity_type_logit,0.0722721740603447
joint,0.4375,velocity_fractional_coordinate,0.008810369297862053
joint,0.4375,velocity_lattice_log,0.29794782400131226
joint,0.5,state_type_logit,0.039125435054302216
joint,0.5,state_fractional_coordinate,0.005843796767294407
joint,0.5,state_lattice_log,0.15354956686496735
joint,0.5,velocity_type_logit,0.07084114849567413
joint,0.5,velocity_fractional_coordinate,0.008143019862473011
joint,0.5,velocity_lattice_log,0.29543930292129517
joint,0.5625,state_type_logit,0.04353194683790207
joint,0.5625,state_fractional_coordinate,0.006351437419652939
joint,0.5625,state_lattice_log,0.17201244831085205
joint,0.5625,velocity_type_logit,0.06949248164892197
joint,0.5625,velocity_fractional_coordinate,0.007517544087022543
joint,0.5625,velocity_lattice_log,0.2929636538028717
joint,0.625,state_type_logit,0.0478501170873642
joint,0.625,state_fractional_coordinate,0.006819901056587696
joint,0.625,state_lattice_log,0.1903202384710312
joint,0.625,velocity_type_logit,0.06821954995393753
joint,0.625,velocity_fractional_coordinate,0.006930982694029808
joint,0.625,velocity_lattice_log,0.29051944613456726
joint,0.6875,state_type_logit,0.05208456143736839
joint,0.6875,state_fractional_coordinate,0.007251628674566746
joint,0.6875,state_lattice_log,0.20847482979297638
joint,0.6875,velocity_type_logit,0.0670163482427597
joint,0.6875,velocity_fractional_coordinate,0.0063155475072562695
joint,0.6875,velocity_lattice_log,0.28810590505599976
joint,0.75,state_type_logit,0.056239545345306396
joint,0.75,state_fractional_coordinate,0.007438758388161659
joint,0.75,state_lattice_log,0.22647826373577118
joint,0.75,velocity_type_logit,0.06587734818458557
joint,0.75,velocity_fractional_coordinate,0.005874098744243383
joint,0.75,velocity_lattice_log,0.2857220470905304
joint,0.8125,state_type_logit,0.06031905114650726
joint,0.8125,state_fractional_coordinate,0.007626188453286886
joint,0.8125,state_lattice_log,0.24433228373527527
joint,0.8125,velocity_type_logit,0.06479760259389877
joint,0.8125,velocity_fractional_coordinate,0.005449756048619747
joint,0.8125,velocity_lattice_log,0.283366858959198
joint,0.875,state_type_logit,0.06432674825191498
joint,0.875,state_fractional_coordinate,0.007810777984559536
joint,0.875,state_lattice_log,0.2620387077331543
joint,0.875,velocity_type_logit,0.0637725368142128
joint,0.875,velocity_fractional_coordinate,0.008011705242097378
joint,0.875,velocity_lattice_log,0.28103968501091003
joint,0.9375,state_type_logit,0.06826607137918472
joint,0.9375,state_fractional_coordinate,0.008092288859188557
joint,0.9375,state_lattice_log,0.2795993685722351
joint,0.9375,velocity_type_logit,0.06279803812503815
joint,0.9375,velocity_fractional_coordinate,0.0076000625267624855
joint,0.9375,velocity_lattice_log,0.27873992919921875
joint,1.0,state_type_logit,0.07214020192623138
joint,1.0,state_fractional_coordinate,0.008378497324883938
joint,1.0,state_lattice_log,0.297015905380249
